 971 120.5 039.4 062.2
 972 047.9 017.4 065.3
 973 002.7 020.2 068.6
 974 -25.5 024.4 071.2
 975 -49.7 023.3 073.0
 976 -62.0 024.4 074.2
 977 -42.8 032.7 075.5
 978 027.3 052.2 076.9
 979 133.0 076.0 078.3
 980 231.8 094.7 079.5
 981 273.6 100.0 080.3
 982 238.8 092.7 080.6
 983 157.5 076.1 080.6
 984 076.0 055.1 080.3
 985 026.5 040.1 080.0
 986 007.4 034.5 079.6
 987 -15.9 032.3 079.1
 988 -46.0 031.1 078.7
 989 -28.2 034.1 078.4
 990 055.9 039.2 078.1
 991 160.0 048.1 077.8
 992 210.9 053.1 077.3
 993 194.1 048.0 077.3
 994 140.3 040.5 076.9
 995 045.2 031.9 076.2
 996 -43.0 026.0 075.3
 997 -51.8 025.5 074.5
 998 007.5 029.7 073.7
 999 063.8 036.3 072.7
1000 098.3 042.8 071.3
1001 149.4 049.5 069.6
1002 187.1 053.3 067.6
1003 185.7 053.3 065.3
1004 153.7 049.7 063.0
1005 093.5 042.2 060.6
1006 031.0 033.5 058.2
1007 -16.8 028.0 055.8
1008 -29.4 026.8 053.5
1009 -13.1 029.6 051.2
1010 006.6 032.6 048.9
1011 041.2 036.9 046.3
1012 075.3 042.0 043.6
1013 094.4 044.9 040.7
1014 093.8 044.0 038.0
1015 077.3 038.7 035.3
1016 055.3 031.5 032.7
1017 022.6 026.9 030.2
1018 -03.7 022.9 027.7
1019 -25.8 020.5 025.1
1020 -39.1 021.0 022.6
1021 -35.6 021.4 020.2
1022 -25.4 023.1 018.1
1023 -01.4 025.2 016.4
1024 033.9 029.3 015.1
1025 058.0 033.0 014.1
1026 063.8 033.1 013.1
1027 045.4 028.9 012.2
1028 014.0 023.2 011.1
1029 -18.0 021.9 010.1
1030 -40.8 023.0 009.2
1031 -40.4 022.4 008.6
1032 -26.8 020.4 008.4
1033 -05.8 020.3 008.4
1034 027.5 023.3 008.7
1035 045.7 025.3 009.0
1036 037.2 026.1 009.3
1037 023.4 025.8 009.6
1038 010.3 024.0 010.0
1039 -02.0 021.3 010.6
1040 -10.9 018.6 011.1
1041 -05.7 018.4 011.8
1042 005.9 017.1 012.4
1043 011.9 014.9 013.1
1044 020.7 015.3 013.5
1045 027.5 014.8 013.9
1046 013.4 014.3 014.2
1047 -19.8 015.5 014.6
1048 -46.3 017.1 015.3
1049 -30.3 020.5 016.5
1050 018.2 026.9 018.0
1051 059.5 032.9 019.4
1052 093.2 036.8 020.7
1053 108.9 037.4 021.5
1054 082.7 034.0 021.8
1055 026.9 029.1 021.9
1056 -17.2 025.5 022.0
1057 -17.4 024.8 022.3
1058 003.1 024.5 022.9
1059 015.8 024.7 023.8
1060 015.2 025.9 024.9
1061 010.8 026.7 026.1
1062 023.6 027.5 027.4
1063 031.1 026.7 028.8
1064 012.5 025.0 030.2
1065 -08.8 026.3 031.7
1066 -06.1 028.1 033.4
1067 024.5 030.5 035.4
1068 049.6 032.3 037.4
1069 069.8 035.7 039.2
1070 078.1 038.1 040.9
1071 059.4 036.9 042.1
1072 037.1 035.1 043.1
1073 014.9 032.6 044.0
1074 -03.6 030.9 045.1
1075 004.5 033.3 046.4
1076 038.1 037.8 048.0
1077 071.7 041.8 049.7
1078 081.5 044.5 051.4
1079 088.1 045.2 052.9
1080 099.7 045.7 054.1
1081 095.7 045.5 055.2
1082 083.1 045.0 056.0
1083 073.1 044.5 056.7
1084 080.1 044.8 057.3
1085 078.8 043.1 057.8
1086 077.2 041.3 058.1
1087 082.1 041.2 058.2
1088 060.7 040.3 058.1
1089 034.3 037.5 057.9
1090 034.3 034.3 057.8
1091 026.0 031.0 057.7
1092 004.9 030.3 057.8
1093 -06.3 032.7 058.1
1094 006.8 035.8 058.7
1095 034.0 037.3 059.3
1096 052.9 036.9 060.0
1097 066.3 038.3 060.5
1098 089.6 044.6 061.0
1099 100.0 050.2 061.5
1100 097.7 052.6 061.8
1101 082.0 050.6 061.9
1102 072.3 049.6 062.0
1103 080.8 052.9 062.0
1104 082.3 057.1 061.9
1105 085.6 058.2 061.7
1106 070.3 051.7 061.4
1107 053.0 045.0 061.1
1108 060.3 044.1 060.9
1109 051.5 044.7 060.8
1110 051.9 043.8 060.7
1111 067.5 042.0 060.6
1112 066.8 038.4 060.5
1113 065.2 037.1 060.5
1114 050.5 035.5 060.7
1115 038.0 032.8 061.3
1116 044.1 031.8 062.1
1117 057.4 031.7 063.4
1118 074.1 032.1 064.8
1119 083.7 031.6 066.2
1120 077.7 030.1 067.6
1121 062.1 028.2 068.9
1122 041.1 026.9 070.1
1123 019.4 027.6 071.4
1124 008.0 028.8 072.9
1125 017.0 029.8 074.6
1126 040.6 031.5 076.5
1127 061.3 032.8 078.8
1128 073.6 035.5 081.2
1129 075.8 038.4 083.5
1130 070.1 041.4 085.7
1131 064.6 046.3 087.7
1132 068.2 052.4 089.4
1133 096.8 064.5 090.9
1134 156.1 082.6 092.0
1135 225.4 101.0 092.7
1136 259.7 109.7 092.6
1137 265.4 105.3 091.7
1138 229.3 086.0 090.0
1139 146.9 068.3 087.5
1140 077.6 059.6 084.6
1141 024.8 050.6 081.4
1142 -13.4 042.4 078.2
1143 -12.5 038.6 075.1
1144 008.1 037.7 072.1
1145 040.5 043.4 069.2
1146 072.8 050.6 066.3
1147 115.9 055.8 063.4
1148 139.4 056.4 060.4
1149 102.9 052.3 057.2
1150 052.1 045.6 054.0
1151 015.1 038.9 050.9
1152 -14.3 031.4 047.9
1153 -34.7 025.3 045.1
1154 -35.4 023.1 042.6
