-6755  48.65  54.46  60.58
-6745  48.59  54.46  60.52
-6735  50.60  56.50  62.82
-6725  56.01  62.14  68.81
-6715  58.15  64.31  71.12
-6705  51.64  57.73  64.12
-6695  42.04  47.39  53.52
-6685  35.07  40.45  46.13
-6675  33.45  39.16  44.34
-6665  32.77  38.18  43.56
-6655  30.66  35.59  41.00
-6645  30.01  34.94  40.06
-6635  33.09  38.51  43.86
-6625  36.79  42.62  48.10
-6615  39.29  44.37  50.34
-6605  37.89  43.11  48.78
-6595  33.71  38.93  44.50
-6585  33.00  37.60  43.73
-6575  34.07  39.09  44.86
-6565  35.20  40.58  46.12
-6555  38.47  44.18  49.98
-6545  41.23  46.94  52.90
-6535  40.74  46.25  52.22
-6525  41.10  46.48  52.45
-6515  42.85  48.65  54.52
-6505  44.08  50.14  56.04
-6495  47.06  53.09  59.41
-6485  44.89  50.31  56.69
-6475  37.18  42.01  48.04
-6465  29.92  34.88  40.29
-6455  24.54  29.89  35.01
-6445  19.64  24.73  29.89
-6435  14.91  19.64  24.41
-6425  14.81  19.12  24.24
-6415  20.71  25.05  30.50
-6405  24.83  29.59  34.94
-6395  23.08  28.01  33.19
-6385  21.30  26.22  31.41
-6375  20.58  25.51  30.70
-6365  21.23  26.16  31.34
-6355  23.31  28.13  33.42
-6345  27.75  32.51  38.05
-6335  32.41  37.34  43.05
-6325  35.85  40.78  46.58
-6315  43.21  48.42  54.58
-6305  54.39  60.29  66.67
-6295  65.02  71.05  77.66
-6285  68.26  74.26  81.33
-6275  65.57  71.96  78.70
-6265  62.53  68.46  75.10
-6255  57.70  63.24  69.72
-6245  49.95  55.46  61.85
-6235  43.05  47.94  54.07
-6225  40.55  44.96  50.92
-6215  41.88  46.77  52.35
-6205  43.53  49.24  54.26
-6195  41.68  47.10  52.38
-6185  39.32  44.15  49.50
-6175  40.42  45.28  50.57
-6165  42.43  47.71  53.16
-6155  42.17  47.52  53.06
-6145  42.69  47.88  53.58
-6135  45.77  50.95  56.85
-6125  52.70  58.08  64.21
-6115  57.60  63.50  69.46
-6105  51.80  57.54  63.40
-6095  43.21  48.14  53.74
-6085  39.25  44.28  49.63
-6075  40.68  45.87  51.15
